Date,Time,Latitude,Longitude
2018-12-22,01:07:31 PM,49.15563202,-123.0172272
2018-12-22,01:46:35 PM,43.66907883,-79.66673279
2018-12-22,02:07:31 PM,49.15563965,-123.0171585
2018-12-22,02:46:35 PM,43.66876984,-79.66670227
2018-12-22,03:07:31 PM,49.15566254,-123.0171967
2018-12-22,03:46:35 PM,43.66907501,-79.66712189
2018-12-22,03:56:50 PM,49.15586853,-123.0171585
2018-12-22,04:07:31 PM,49.15563583,-123.0172272
2018-12-22,03:12:45 PM,43.66942596,-79.66734314
2018-12-22,04:44:32 PM,49.15594482,-123.0171432
2018-12-22,02:57:36 PM,43.66903305,-79.6668396
2018-12-22,04:46:35 PM,43.66918564,-79.66707611
2018-12-22,02:56:50 PM,49.15589905,-123.017189
2018-12-22,02:55:56 PM,43.66932678,-79.66739655
2018-12-22,02:46:21 PM,43.66933441,-79.66712189
2018-12-22,05:07:31 PM,49.15567398,-123.0172424
2018-12-22,02:44:32 PM,49.15600586,-123.017189
2018-12-22,02:20:15 PM,49.15595245,-123.017189
2018-12-22,05:44:32 PM,49.15597153,-123.0171432
2018-12-22,02:12:45 PM,43.66944122,-79.66732788
2018-12-22,05:46:35 PM,43.66867447,-79.66659546
2018-12-22,01:57:36 PM,43.66912079,-79.66684723
2018-12-22,01:56:50 PM,49.1558609,-123.0171738
2018-12-22,01:55:56 PM,43.66938782,-79.66735077
2018-12-22,06:07:31 PM,49.15563202,-123.0171967
2018-12-22,01:46:21 PM,43.6693306,-79.66713715
2018-12-22,01:44:32 PM,49.15597534,-123.017189
2018-12-22,01:20:15 PM,49.15597916,-123.0171356
2018-12-22,01:12:45 PM,43.66940308,-79.66728973
2018-12-22,06:46:35 PM,43.6692543,-79.66718292
2018-12-22,12:57:36 PM,43.66905975,-79.66681671
2018-12-22,12:56:50 PM,49.15590286,-123.0171738
2018-12-22,12:55:56 PM,43.6693306,-79.66742706
2018-12-22,07:07:31 PM,49.15565872,-123.0173492
2018-12-22,04:20:13 PM,49.15594101,-123.017189
2018-12-22,04:12:45 PM,43.66941833,-79.66725922
2018-12-22,03:57:36 PM,43.66905975,-79.66681671
2018-12-22,03:55:56 PM,43.66934586,-79.66737366
2018-12-22,07:46:34 PM,43.66870117,-79.66703796
2018-12-22,03:46:21 PM,43.66932678,-79.66708374
2018-12-22,03:44:32 PM,49.15600967,-123.0171585
2018-12-22,03:20:13 PM,49.15593338,-123.0171967
2018-12-22,08:07:31 PM,49.15565491,-123.0172272
2018-12-22,04:46:21 PM,43.66930008,-79.66709137
2018-12-22,04:55:56 PM,43.66933823,-79.6673584
2018-12-22,04:56:50 PM,49.15586472,-123.0171738
2018-12-22,04:57:36 PM,43.66905594,-79.66687775
2018-12-22,08:46:34 PM,43.6688652,-79.66687012
2018-12-22,05:12:45 PM,43.66941833,-79.66730499
2018-12-22,05:20:13 PM,49.15594482,-123.017189
2018-12-22,05:46:21 PM,43.66934204,-79.66710663
2018-12-22,05:55:57 PM,43.66936493,-79.66734314
2018-12-22,05:56:51 PM,49.15587234,-123.0172653
2018-12-22,06:12:44 PM,43.66942596,-79.6673584
2018-12-22,06:20:13 PM,49.15599823,-123.0171432
2018-12-22,08:55:56 PM,43.66935349,-79.66738892
2018-12-22,06:46:21 PM,43.66931534,-79.66712189
2018-12-22,06:55:56 PM,43.66933823,-79.66734314
2018-12-22,09:07:31 PM,49.15565491,-123.0172424
2018-12-22,06:56:51 PM,49.15586853,-123.0172272
2018-12-22,06:57:36 PM,43.66905975,-79.66684723
2018-12-22,09:44:32 PM,49.15600967,-123.0171432
2018-12-22,07:20:13 PM,49.15590668,-123.0172119
2018-12-22,09:46:35 PM,43.66904449,-79.66704559
2018-12-22,07:44:32 PM,49.1559639,-123.017189
2018-12-22,07:46:21 PM,43.66932678,-79.667099
2018-12-22,07:55:56 PM,43.66936493,-79.66732025
2018-12-22,09:57:36 PM,43.66912842,-79.66688538
2018-12-22,10:07:31 PM,49.15565872,-123.0171585
2018-12-22,07:56:50 PM,49.15586853,-123.0171967
2018-12-22,07:57:36 PM,43.66911316,-79.66681671
2018-12-22,08:12:44 PM,43.66942596,-79.66726685
2018-12-22,10:46:34 PM,43.66894531,-79.66708374
2018-12-22,08:20:13 PM,49.15591812,-123.0171585
2018-12-22,08:44:32 PM,49.15596008,-123.0171204
2018-12-22,08:46:21 PM,43.66932678,-79.66713715
2018-12-22,08:49:26 PM,NULL,NULL
2018-12-22,11:07:32 PM,49.15563583,-123.0171967
2018-12-22,08:49:31 PM,49.24414063,-122.7544632
2018-12-22,08:50:32 PM,49.24414063,-122.7545624
2018-12-22,08:51:32 PM,49.24414063,-122.7545624
2018-12-22,11:46:34 PM,43.66880798,-79.66681671
2018-12-22,08:52:32 PM,49.24414825,-122.75457
2018-12-22,08:53:32 PM,49.24415207,-122.7545853
2018-12-22,05:57:36 PM,43.66904831,-79.66687775
2018-12-22,08:54:32 PM,49.24414825,-122.75457
2018-12-23,12:07:31 AM,49.15569305,-123.0172424
2018-12-22,06:44:32 PM,49.15597153,-123.0171585
2018-12-22,07:12:44 PM,43.66940689,-79.66729736
2018-12-22,09:54:34 PM,49.24414063,-122.7544556
2018-12-23,12:46:34 AM,43.66969299,-79.66725922
2018-12-22,09:55:55 PM,43.66938019,-79.66734314
2018-12-22,09:56:50 PM,49.15589905,-123.0171585
2018-12-22,10:12:44 PM,43.66943359,-79.66729736
2018-12-22,10:20:13 PM,49.15593719,-123.0171585
2018-12-23,01:07:31 AM,49.1556282,-123.0172119
2018-12-22,10:44:31 PM,49.15594482,-123.0171967
2018-12-22,10:54:35 PM,49.244133,-122.7544937
2018-12-22,10:55:56 PM,43.66936493,-79.66732025
2018-12-23,01:46:34 AM,43.66836166,-79.66719818
2018-12-22,10:56:50 PM,49.15587234,-123.0171585
2018-12-22,10:57:36 PM,43.66910553,-79.66684723
2018-12-22,11:12:45 PM,43.66942596,-79.66728973
2018-12-22,11:20:13 PM,49.15593338,-123.0172272
2018-12-23,02:07:31 AM,49.15566635,-123.0171967
2018-12-22,11:44:32 PM,49.15599823,-123.0172119
2018-12-22,11:54:35 PM,49.24412155,-122.7544785
2018-12-22,11:55:56 PM,43.66931152,-79.66739655
2018-12-23,02:46:34 AM,43.6685257,-79.66629028
2018-12-22,11:56:50 PM,49.15591812,-123.0172653
2018-12-22,08:56:50 PM,49.15587997,-123.0171738
2018-12-22,08:57:36 PM,43.66906738,-79.66685486
2018-12-22,09:12:44 PM,43.66939163,-79.66732788
2018-12-23,03:07:30 AM,49.15567398,-123.0171738
2018-12-22,09:20:13 PM,49.15595245,-123.0171585
2018-12-22,09:46:21 PM,43.66931915,-79.66713715
2018-12-23,12:54:35 AM,49.24415588,-122.7544556
2018-12-23,12:55:56 AM,43.66937256,-79.6673584
2018-12-23,12:56:50 AM,49.15589905,-123.0171051
2018-12-23,12:57:36 AM,43.66904068,-79.66683197
2018-12-23,01:12:45 AM,43.66941833,-79.66725159
2018-12-23,01:20:13 AM,49.15596008,-123.0171432
2018-12-23,01:44:31 AM,49.15595245,-123.0171738
2018-12-23,01:54:35 AM,49.2440834,-122.754425
2018-12-23,03:46:34 AM,43.66968536,-79.66646576
2018-12-23,01:55:55 AM,43.66933823,-79.66736603
2018-12-23,01:56:49 AM,49.15589905,-123.017189
2018-12-23,01:57:36 AM,43.66908264,-79.66687775
2018-12-23,04:07:30 AM,49.15564728,-123.0173035
2018-12-23,02:12:44 AM,43.66941833,-79.66726685
2018-12-23,02:20:14 AM,49.15595245,-123.0171967
2018-12-23,02:44:31 AM,49.15598297,-123.017189
2018-12-23,02:54:35 AM,49.24412155,-122.7544785
2018-12-23,04:46:34 AM,43.66867447,-79.66728973
2018-12-23,02:55:56 AM,43.66934586,-79.66734314
2018-12-22,11:57:36 PM,43.66910553,-79.66688538
2018-12-23,12:12:44 AM,43.66943741,-79.66728973
2018-12-23,05:07:30 AM,49.15565491,-123.0172424
